Название,Артикул,Цена,Бренд,Категория,Описание,Картинки,Ссылка на товар 
Женская Lacoste Joy of pink,Женская Lacoste Joy of pink,1788,Lacoste,Женская парфюмерия,"Наш интернет магазин парфюмерии представляет Вам восхитительный аромат. Женская туалетная вода Lacoste ""Lacoste joy of pink"". LACOSTE (Лакост) - Joy of Pink - пополнил «розовую» коллекцию компании. Красочный и полный энергии и жизненной силы коктейль. Цитрусовые ноты поддержаны нежной мускусной базой – такое сочетание делает композицию духов женственной и мягкой. Основные ноты духов: грейпфрут, кюрасо, кедр, пион, мускус.Наш интернет магазин парфюмерии предлагает Вам, огромный выбор прекрасного парфюма. У нас Вы всегда сможете найти и купить именно тот парфюм, который подойдет именно вам. Женская туалетная вода и женские духи от самых известных парфюмерных домов мира.",https://ik.imagekit.io/q6gbfd9lb/12859292ff2f84b1038d5a007d5ea6aa.800x600w.jpg_db8791bbb1cf6f6130fc5701f9cf5eac.jpg,http://parfume-opt.ru/products/joy_of_pink
Мужская Lacoste Essential TESTER LUXE,Мужская Lacoste Essential TESTER LUXE,2028,Lacoste,Женская парфюмерия,"Романтичный и мужественный аромат создан для молодого мужчины любящего перемены и свободу, ищущего новых ощущений и смотрящего в будущее с оптимизмом. Его главная ценность - независимость и индивидуальность. Аромат свободы, динамичный и пульсирующий, открывающий новые горизонты.Характиристика: Бодрящий, живой, заряжающий, свежий и энергичный.Классификация: Пряный, цветочный и цитрусовый.Описание:Романтичный, мужественный, непринужденный аромат, адресован молодому мужчине, любящему перемены и свободу, вечному страннику, ищущему новых ощущений и смотрящему в будущее с оптимизмом. Независимость духа – вот его главная ценность. Аромат свободы, динамичный и пульси­рующий, открывающий новые горизонты. Благодаря новой технологии Time-Release Technology свежесть аромата сохраняется целый деньПирамида аромата:Верхние ноты: Листья томата, мандарин, водные аккорды, лимон, виноград и бергамот.Ноты сердца: Черный перец, роза и пряности.Базовые ноты: Древесина, сандал и пачули.",https://ik.imagekit.io/q6gbfd9lb/5_48.800x600w.jpg_1c89b010536cd1937c7c935e2e0459e2.jpg,http://parfume-opt.ru/products/essential_tester_luxe
Мужская Lacoste Essential LUXE,Мужская Lacoste Essential LUXE,2460,Lacoste,Женская парфюмерия,"Романтичный и мужественный аромат создан для молодого мужчины любящего перемены и свободу, ищущего новых ощущений и смотрящего в будущее с оптимизмом. Его главная ценность - независимость и индивидуальность. Аромат свободы, динамичный и пульсирующий, открывающий новые горизонты.Характиристика: Бодрящий, живой, заряжающий, свежий и энергичный.Классификация: Пряный, цветочный и цитрусовый.Описание:Романтичный, мужественный, непринужденный аромат, адресован молодому мужчине, любящему перемены и свободу, вечному страннику, ищущему новых ощущений и смотрящему в будущее с оптимизмом. Независимость духа – вот его главная ценность. Аромат свободы, динамичный и пульси­рующий, открывающий новые горизонты. Благодаря новой технологии Time-Release Technology свежесть аромата сохраняется целый деньПирамида аромата:Верхние ноты: Листья томата, мандарин, водные аккорды, лимон, виноград и бергамот.Ноты сердца: Черный перец, роза и пряности.Базовые ноты: Древесина, сандал и пачули.",https://ik.imagekit.io/q6gbfd9lb/1_49.800x600w.jpg_45cf0ca2b355836578fa42652e8ee7c6.jpg,http://parfume-opt.ru/products/essential_luxe
Мужская Lacoste Essential,Мужская Lacoste Essential,1788,Lacoste,Женская парфюмерия,"Романтичный и мужественный аромат создан для молодого мужчины любящего перемены и свободу, ищущего новых ощущений и смотрящего в будущее с оптимизмом. Его главная ценность - независимость и индивидуальность. Аромат свободы, динамичный и пульсирующий, открывающий новые горизонты.Характиристика: Бодрящий, живой, заряжающий, свежий и энергичный.Классификация: Пряный, цветочный и цитрусовый.Описание:Романтичный, мужественный, непринужденный аромат, адресован молодому мужчине, любящему перемены и свободу, вечному страннику, ищущему новых ощущений и смотрящему в будущее с оптимизмом. Независимость духа – вот его главная ценность. Аромат свободы, динамичный и пульси­рующий, открывающий новые горизонты. Благодаря новой технологии Time-Release Technology свежесть аромата сохраняется целый деньПирамида аромата:Верхние ноты: Листья томата, мандарин, водные аккорды, лимон, виноград и бергамот.Ноты сердца: Черный перец, роза и пряности.Базовые ноты: Древесина, сандал и пачули.",https://ik.imagekit.io/q6gbfd9lb/Lacoste_20Essential_20125ml_20by_20Lacoste.800x600w.jpg_e6b15fe9e42a1c9495127f9c33a82e88.jpg,http://parfume-opt.ru/products/essential
Женская Christian Dior Poison Hypnotic EDT LUXE,Женская Christian Dior Poison Hypnotic EDT LUXE,2842,Christian Dior,Женская парфюмерия,"Hypnotic Poison от Christian Dior – аромат для женственной соблазнительницы, перед чьей магией не может устоять ни один мужчина. Одним только взглядом или жестом она может свести с ума. Hypnotic Poison – провокационный, загадочный аромат, построенный на четырех интенсивных и волнующих нотах. Это чувственная алхимия соблазна.Любимый аромат Мадонны. Классика. Этот аромат следует по мифической дорожке Poison'а- дьявольский и таинственный аромат, волшебный эликсир современных времен, который выражает чувственность вашей эры. Экстравагантные и опьяняющие, Hypnotic Poison- духи женственности и смелости. Загадочная гармония, рожденная из сплава четырех противопоставленных друг другу аспектов: резкая и опьяняющая нота миндаля, более богатая и драгоценная нота жасмина ""Самбак"", очаровательное цветочное примечание розы и ландыша и гипнотического и чувственного шлейфа ванили.Применение: дневные, вечерниеСемейство: цветочные, ориентальныеНоты: жасмин, древесина, ваниль, мох, миндаль,тмин",https://ik.imagekit.io/q6gbfd9lb/61_27.800x600w.jpg_0d6546bf336d5c4fc690e2525f3dcc1a.jpg,http://parfume-opt.ru/products/poison_hypnotic_edt_luxe
Мужская Gucci Guilty pour Homme LUXE,Мужская Gucci Guilty pour Homme LUXE,2611,Gucci,Женская парфюмерия,"Аромат Gucci Guilty pour Homme пропитан сексуальностью и мужским шармом. С ним вы станете настоящим покорителем женских сердец. Яркий древесно-фужерный аромат покорит любую, а вы не останетесь незамеченным.   После оглушительного успеха новой туалетной воды для женщин Gucci Guilty от Gucci, торговый дом решает создать парфюмерную пару Gucci Guilty Pour Homme - новый парфюм для мужин. Gucci Guilty признан лучшим ароматом 2010 года. Gucci Guilty Pour Homme адресован мужчинам, которые всегда знают что хотят от жизни, и всегда получают это! Харизматический лидер, соблазнитель всех Леди, он станет именно таким вместе с новым ароматом Gucci Guilty Pour Homme. Освежающие верхние ноты раскрываются ароматом лимона, лаванды и флердоранжа. Базовые ноты и ноты сердца очаруют теплым сочетанием кедра и пачулей.",https://ik.imagekit.io/q6gbfd9lb/Gucci-Guilty-pour-Homme_enl.800x600w.jpg_a1b1c404e2219071505ebb41b173287f.jpg,http://parfume-opt.ru/products/guilty_pour_homme_luxe
Мужская Hugo Boss Boss Orange for men,Мужская Hugo Boss Boss Orange for men,1710,Hugo Boss,Женская парфюмерия,"Туалетная вода Boss Orange for Men от HUGO BOSS - запущена в феврале 2011 годаBoss Orange for Men - свобода и оптимизм, сила и безмятежность, страсть и спокойствиеЯркая новинка 2011 года от бренда HUGO BOSS, духи Boss Orange for Men - первый мужской аромат в коллекции BOSS Orange. Духи Boss Orange for Men – это современный, насыщенный древесно-пряный аромат, воплощающий свободу и оптимизм, силу и безмятежность, страсть и спокойствие.Лицом рекламной компании нового мужского аромата Orange от Хьюго Босс был выбран знаменитый актер Орландо Блум (Orlando Bloom, «Пираты Карибского моря», «Царство небесное», «Троя» и др). Яркая внешность, стиль, индивидуальность, страстная натура, непринужденный шарм и очаровательная, наполненная оптимизмом улыбка сделали Блума идеальным воплощением образа Orange Men.«Boss Orange это бренд, с которым я без промедлений отождествляю себя. В его характере свойственная мне спонтанность и независимость», - говорит Орландо Блум. - «Я люблю аромат. Он имеет глубину и эволюционирует с течением времени. Мне нравится это, потому что кажется, сложным, но, в тоже время, спокойным и расслабляющим».Фотосессию с участием актера для рекламы BOSS Orange for Man (Босс Оранж для мужчин) провел фотографСтивен Кляйн.Композиция BOSS Orange Man создана вокруг роскошного пряного аккорда, на ярком фоне которого проявляются увлекательные слайды: пикантная свежесть красного яблока, теплота ладана, сладкая чувственность ванили. В образе главного героя ароматной пьесы выступает экзотическая древесная нота Бубинга (Bubinga или африканское розовое дерево), создающая утешительную ауру уверенности мужского парфюма Orange.Дизайн флакона для BOSS Orange Man от HUGO BOSSразработал Eyan Allan, арт-директором линии BOSS Orange. Стеклянная бутылка разграничена на квадратные кристаллы, помещенные в гладкий металлический корпус. Силуэт флакона, благодаря твердым и решительным линиям, визуально напоминает атлетическое мужское тело.Мужской аромат Босс Оранж выпущен в концентрации туалетная вода в бутылках объемом 60 и 100 мл.",https://ik.imagekit.io/q6gbfd9lb/Hugo-Boss-Boss-Orange-For-Men.800x600w.jpg_5193d3fc94e49504e7bd18dca4f17498.jpg,http://parfume-opt.ru/products/boss_orange_for_men
Мужская Hugo Boss Bottled Night LUXE,Мужская Hugo Boss Bottled Night LUXE,2491,Hugo Boss,Женская парфюмерия,"Туалетная вода Boss Bottled Night от HUGO BOSS - запущена в июле 2010 годаНовинка 2010 года Boss Bottled Night от HUGO BOSS – обольстительная, страстная ночная версия мирового бестселлера парфюмерной индустрии - уравновешенного и элегантного запаха 1998 года, созданная для амбициозных, уверенных в себе, современных мужчин. Духи Bottled Night – насыщенный древесно-ароматический аромат, с яркой свежестью зеленого аккорда, подчеркивающая силу, мужественность и чувственность своего владельца. «Не стоит тратить ночь на сон, ведь жизнь так прекрасна и коротка».Композиция Boss Bottled Night открывается выразительной экспрессией свежести зеленых красок, создавая волшебный эликсир придающий уверенность.  Горьковатый аромат листьев березы, которые плавно кружатся на фоне освежающего, мужественного аккорда болгарской лаванды, дополняют легкие цитрусовые оттенки, похожие на тонкий аромат лимонного листа. В «сердце» кардамон, Африканская фиалка и жасмин создают сладкий цветочный букет, в элегантном обрамлении бархатной зелени.  Царственный шлейф «ночного» парфюма окутывает чувственным теплом экзотического древесного аккорда. Решительные ноты Louro Amarelo (бразильский самшит) дополнены сандалом и ванилью, а звездная россыпь мускуса превращает аромат Boss Night в интригующий, соблазнительный и сексуальный коктейль удовольствий.Флакон туалетной воды Hugo Boss Bottled Night (Хуго Босс Ботлед Найт) сохранил форму классической бутылки Boss Bottled, добавив к стильному наряду эффектные детали ночной жизни. Цвет бутылки поднимается от освещенного огнями ночного города темно-синего горизонта, до гладко-черной, харизматичной глубины неба. Легкое серебристое напыление акцентирует внимание на названии аромата. Упакован флакон в черную блестящую коробку с серебристой надписью, создающую престижный, изысканный образ.«Не стоит тратить ночь на сон, ведь жизнь так прекрасна и коротка...»Лицом нового аромата Boss Bottled Night стал популярный голливудский актер Райан Рейнольдс (Ryan Reynolds), муж Скарлетт Йоханссон. «У Рейнольдса есть все качества человека BOSS - талантливый, целеустремленный, стильный и уверенный в себе, он является типичным образцом для подражания современных мужчин», - прокомментировал выбор компании директор маркетингового отдела HUGO BOSS Fragrance Томас Буркхардт.«Boss это бренд, который не только представляет классический стиль и утонченность, но и вдохновляет мужчин упорно работать, грамотно использовать предоставляемые возможности и стремиться к успеху во всех аспектах своей жизни. Для меня большая честь стать лицом нового мужского аромата» – сказал Райан Рейнольдс. С участием актера была запущена телевизионная и печатная реклама Boss Bottled Night. Музыка в рекламном ролике: композиция «Angel» группы Massive Attack.",https://ik.imagekit.io/q6gbfd9lb/boss-bottled-night-tester-100-ml-spray-31457.800x600w.jpg_c3759f6944eedb8b6a735e093fb7c7cf.jpg,http://parfume-opt.ru/products/bottled_night_luxe
Мужская Hugo Boss Bottled Night,Мужская Hugo Boss Bottled Night,1812,Hugo Boss,Женская парфюмерия,"Туалетная вода Boss Bottled Night от HUGO BOSS - запущена в июле 2010 годаНовинка 2010 года Boss Bottled Night от HUGO BOSS – обольстительная, страстная ночная версия мирового бестселлера парфюмерной индустрии - уравновешенного и элегантного запаха 1998 года, созданная для амбициозных, уверенных в себе, современных мужчин. Духи Bottled Night – насыщенный древесно-ароматический аромат, с яркой свежестью зеленого аккорда, подчеркивающая силу, мужественность и чувственность своего владельца. «Не стоит тратить ночь на сон, ведь жизнь так прекрасна и коротка».Композиция Boss Bottled Night открывается выразительной экспрессией свежести зеленых красок, создавая волшебный эликсир придающий уверенность.  Горьковатый аромат листьев березы, которые плавно кружатся на фоне освежающего, мужественного аккорда болгарской лаванды, дополняют легкие цитрусовые оттенки, похожие на тонкий аромат лимонного листа. В «сердце» кардамон, Африканская фиалка и жасмин создают сладкий цветочный букет, в элегантном обрамлении бархатной зелени.  Царственный шлейф «ночного» парфюма окутывает чувственным теплом экзотического древесного аккорда. Решительные ноты Louro Amarelo (бразильский самшит) дополнены сандалом и ванилью, а звездная россыпь мускуса превращает аромат Boss Night в интригующий, соблазнительный и сексуальный коктейль удовольствий.Флакон туалетной воды Hugo Boss Bottled Night (Хуго Босс Ботлед Найт) сохранил форму классической бутылки Boss Bottled, добавив к стильному наряду эффектные детали ночной жизни. Цвет бутылки поднимается от освещенного огнями ночного города темно-синего горизонта, до гладко-черной, харизматичной глубины неба. Легкое серебристое напыление акцентирует внимание на названии аромата. Упакован флакон в черную блестящую коробку с серебристой надписью, создающую престижный, изысканный образ.«Не стоит тратить ночь на сон, ведь жизнь так прекрасна и коротка...»Лицом нового аромата Boss Bottled Night стал популярный голливудский актер Райан Рейнольдс (Ryan Reynolds), муж Скарлетт Йоханссон. «У Рейнольдса есть все качества человека BOSS - талантливый, целеустремленный, стильный и уверенный в себе, он является типичным образцом для подражания современных мужчин», - прокомментировал выбор компании директор маркетингового отдела HUGO BOSS Fragrance Томас Буркхардт.«Boss это бренд, который не только представляет классический стиль и утонченность, но и вдохновляет мужчин упорно работать, грамотно использовать предоставляемые возможности и стремиться к успеху во всех аспектах своей жизни. Для меня большая честь стать лицом нового мужского аромата» – сказал Райан Рейнольдс. С участием актера была запущена телевизионная и печатная реклама Boss Bottled Night. Музыка в рекламном ролике: композиция «Angel» группы Massive Attack.",https://ik.imagekit.io/q6gbfd9lb/boss-bottled-night-tester-100-ml-spray-31457.800x600w.jpg_c3759f6944eedb8b6a735e093fb7c7cf.jpg,http://parfume-opt.ru/products/bottled_night
Женская Christian Dior Miss Dior Cherie,Женская Christian Dior Miss Dior Cherie,1800,Christian Dior,Женская парфюмерия,,https://ik.imagekit.io/q6gbfd9lb/727e1a6ed7b620c584df35f6440d2ed2.800x600w.jpg_1fc4e230bbfacb5fe0bb6aefd3f70298.jpg,http://parfume-opt.ru/products/miss_dior_cherie
Мужская Hugo Boss Hugo Just Different,Мужская Hugo Boss Hugo Just Different,1802,Hugo Boss,Женская парфюмерия,"Туалетная вода Hugo Just Different от Hugo Boss – новинка 2011 года!Hugo Just Differentпоможет владельцу видеть вещи по-другому, и быть «совершенно непохожим на других»«Hugo Just Different» (Хуго джаст дифферент) – современный городской аромат, наполненный инновационной творческой энергией ледяной свежести, был представлен немецким модным брендом Hugo Boss (Хьюго Босс) в июле 2011 года. Одеколон «Hugo Just Different» - обновленная версия культового мужского аромата 1995 г -  парфюмерного символа креативного мышления.Новый аромат обращен к мужчинам, которые придают большое значение своему внешнему виду и привыкли жить в стремительном городском ритме, где умение выделиться из серой массы – это ключ к успеху. Необычный экспериментальный подход Hugo Just Different поможет владельцу видеть вещи по-другому, находя в этом вдохновение, чтобы быть «совершенно непохожим на других».«Лицом» рекламной компании нового аромата Just Different в линейке Hugo от Hugo Boss стал американский актер (Бойцовский клуб, Реквием по мечте, Одинокие сердца и др) и музыкант, лидер известной альтернативной рок-группы «30 Second to Mars» Джаред Лето (Jared Leto). Показ рекламного клипа, в котором Джаред примерил типичный для себя образ метросексуала, стартует в июле 2011 года. Как заявил  Gerd von Podewils (Герд фон Подевилса), маркетинговый директор Hugo Fragrances, актер идеально воплощает дерзкий новаторский дух марки Hugo и способен «вместе со своими друзьями перевернуть мир с ног на голову и обратно».«Основная концепция Just Different заключается в том, что нужно смотреть на вещи по-разному, искать новые перспективы и переворачивать все с ног на голову!», – объяснил Джаред на пресс-конференции посвященной запуску парфюма.«Как и мужчина от Hugo Boss, я черпаю вдохновение во всем, что окружает меня и ищу необычный и неожиданный опыт», – добавил актер.Яркая ароматическая композиция Hugo Just Different составлена прохладным аккордом замороженной мяты в открытии, бодрящими и нотами фрезии и базилика в «сердце» аромата. Основание заполнено разнообразием оттенков синтетической молекулы Cashmeran ®. Нота Cashmeran обладает очень приятным мускусно-древесно-пряный ароматом, чувственным и глубоким, с хорошей продолжительностью звучания и богатым колоритом оттенков: от фруктово-яблочных намеков, доносящихся с приветственным аккордом, к цветочным (гелиотропа, жасмина) и до смолисто-дымных (сосна) в шлейфе композиции.Традиционный флакон Hugo окрашен в матово черный цвет. Мужской одеколон Hugo Just Different от Hugo Bossиздан в концентрации туалетная вода (eau de toilette) в бутылках емкостью 40, 100 и 150 мл EDT.",https://ik.imagekit.io/q6gbfd9lb/just_diff_100_0.800x600w.jpg_ac1ee814c95be259b6005fb57a8ee928.jpg,http://parfume-opt.ru/products/hugo_just_different
Женская Chanel Chance EDP 100ml LUXE,Женская Chanel Chance EDP 100ml LUXE,2672,Chanel,Женская парфюмерия,"Не упусти свой шанс! Chance от Chanel стал приятным сюрпризом для поклонников марки. На этот раз компания выпустила аромат непредсказуемый, живой и озорной. Аромат многослойный и многогранный, играет на коже, переливаясь, словно драгоценный камнь в солнечных лучах. Гиацинт, белый мускус, розовый перец, жасмин, ветивер, ирис, амбра и пачули сливаются в единую композицию, придавая ей страстность и чувственность. Тема любви и нежности звучит во всем. Chance от Chanel обладает такими качествами как дерзость, бодрость, но в тот же момент он дразнящий, охмеляющий. Соединив вместе несовместимые свойства, получили шикарное благовоние, к тому же запах является супер стойким, такое качество считается редчайшим для свежих ароматов. Лишь услышав - слова Chance от Chanel, может закружиться голова.Этому аромату можно поставить десять из десяти или сто из ста баллов. Из-за своей стойкости и притягательной сексуальности парфюм является наслаждением, Вы заметите это с первого же дня!",https://ik.imagekit.io/q6gbfd9lb/1_81.800x600w.jpg_1899079592d2c35d7958c0335c9d28b9.jpg,http://parfume-opt.ru/products/chance_edp_100ml_luxe
Женская Chanel Chance EDP,Женская Chanel Chance EDP,1620,Chanel,Женская парфюмерия,"Не упусти свой шанс! Chance от Chanel стал приятным сюрпризом для поклонников марки. На этот раз компания выпустила аромат непредсказуемый, живой и озорной. Аромат многослойный и многогранный, играет на коже, переливаясь, словно драгоценный камнь в солнечных лучах. Гиацинт, белый мускус, розовый перец, жасмин, ветивер, ирис, амбра и пачули сливаются в единую композицию, придавая ей страстность и чувственность. Тема любви и нежности звучит во всем. Chance от Chanel обладает такими качествами как дерзость, бодрость, но в тот же момент он дразнящий, охмеляющий. Соединив вместе несовместимые свойства, получили шикарное благовоние, к тому же запах является супер стойким, такое качество считается редчайшим для свежих ароматов. Лишь услышав - слова Chance от Chanel, может закружиться голова.Этому аромату можно поставить десять из десяти или сто из ста баллов. Из-за своей стойкости и притягательной сексуальности парфюм является наслаждением, Вы заметите это с первого же дня!",https://ik.imagekit.io/q6gbfd9lb/37_26.800x600w.jpg_b47452d44de510386abd5b1a0f08c3c6.jpg,http://parfume-opt.ru/products/chance_edp
Женская Chanel Chance,Женская Chanel Chance,1800,Chanel,Женская парфюмерия,"Не упусти свой шанс! Chance от Chanel стал приятным сюрпризом для поклонников марки. На этот раз компания выпустила аромат непредсказуемый, живой и озорной. Аромат многослойный и многогранный, играет на коже, переливаясь, словно драгоценный камнь в солнечных лучах. Гиацинт, белый мускус, розовый перец, жасмин, ветивер, ирис, амбра и пачули сливаются в единую композицию, придавая ей страстность и чувственность. Тема любви и нежности звучит во всем. Chance от Chanel обладает такими качествами как дерзость, бодрость, но в тот же момент он дразнящий, охмеляющий. Соединив вместе несовместимые свойства, получили шикарное благовоние, к тому же запах является супер стойким, такое качество считается редчайшим для свежих ароматов. Лишь услышав - слова Chance от Chanel, может закружиться голова.Этому аромату можно поставить десять из десяти или сто из ста баллов. Из-за своей стойкости и притягательной сексуальности парфюм является наслаждением, Вы заметите это с первого же дня!",https://ik.imagekit.io/q6gbfd9lb/Chanel_Chance_enl_enl.800x600w.jpg_a474dcef1973a63a40445b395782a5de.jpg,http://parfume-opt.ru/products/chance
Мужская Kenzo L`Eau Par Pour Homme,Мужская Kenzo L`Eau Par Pour Homme,1788,Kenzo,Женская парфюмерия,"Знакомый и уже полюбившийся аромат Kenzo Leau par pour Homme приобрел новый облик. Неизменная традиционная композиция представлена в интригующем дизайне упаковки, пробуждающем ощущение свежести и новизны. Кристально чистые небесного цвета капли воды образуют волну, заполненную легкими пузырьками, наполняющими воздух свежестью. Бодрящий, энергичный и свежие аромат.Упоительная гармония прозрачных зеленых нот и благородных оттенков драгоценной древесины подарила аромату легкое и элегантное звучание, снискавшее огромную популярность и сделавшее L'Eau par Kenzo pour Homme одним из парфюмерных символов «Кензо».Открывают композицию ноты юзу, сладкого лайма и зеленого перца. Сердце аромата формируют ноты листьев лотоса и водяной мяты. База составлена из оттенков древесины кедра и белого мускуса.",https://ik.imagekit.io/q6gbfd9lb/pf20879.800x600w.jpg_56895362605cdadee6503ca17219d3d1.jpg,http://parfume-opt.ru/products/leau_par_pour_homme
Мужская Lacoste Challenge,Мужская Lacoste Challenge,1788,Lacoste,Женская парфюмерия,"Challenge от Lacoste динамичный и оптимистичный мужской аромат. Создан для тех, кто воспринимает жизнь, как увлекательную игру, полную необычных событий и ярких красок, не зря крышка флакона имеет рельеф как у теннисной ракетки. Lacoste предлагает снова окунуться в вихрь жизни, только на этот раз более стильно и утонченно. Лицом рекламной компании стал молодой канадский актер Хайден Кристенсен, как никто лучше олицетворяющий молодость и целеустремленность.Характиристика: Соблазнительный, гармоничный, современный и энергичный.Классификация: Древесный и цитрусовый.Описание:Lacoste Challenge - Очень интересный выбор Lacoste - это Хайден Кристенсен, который представлен в каче­стве нового лица рекламной компании бренда Lacoste. Популярный, обаятельный и красивый актер известен своей ролью Анакина Скайуокера из культового сериала Звездные войны . Новый аромат Challenge открывается чистой энергией мандарина и лимона с оттенком бергамота. Сердце этого аромата скрывает имбирь в сочетании с нотами лаванды и фиалковыми листьями, создавая идеальное чувство гармонии. Базовые ноты оставляют за собой след из черного и тикового дерева.Пирамида аромата:Верхние ноты: Мандарин, лимон и бергамот.Ноты сердца: Лаванда и листья фиалки.Базовые ноты: Тиковое дерево.",https://ik.imagekit.io/q6gbfd9lb/1Lacoste_20CHALLENGE_enl.800x600w.jpg_7d006f87c50dd6a4b7cc1066e9d6c81f.jpg,http://parfume-opt.ru/products/challenge
